"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"서울특별시  (1100000000)","9,313,532","9,313,532","463,761","719,729","1,267,624","1,459,332","1,368,348","1,473,113","1,318,327","819,214","368,261","54,345","1,478","4,489,067","4,489,067","237,978","367,477","593,335","729,571","675,956","724,718","625,088","368,990","150,343","15,292","319","4,824,465","4,824,465","225,783","352,252","674,289","729,761","692,392","748,395","693,239","450,224","217,918","39,053","1,159"
"서울특별시 종로구 (1111000000)","137,449","137,449","5,152","9,275","20,381","19,859","18,296","22,922","20,964","12,462","6,903","1,198","37","65,925","65,925","2,640","4,535","9,478","9,879","8,810","11,242","10,468","5,741","2,746","373","13","71,524","71,524","2,512","4,740","10,903","9,980","9,486","11,680","10,496","6,721","4,157","825","24"
"서울특별시 중구 (1114000000)","118,331","118,331","5,005","5,826","15,900","21,237","16,166","18,002","17,975","11,357","5,850","993","20","56,829","56,829","2,561","2,896","7,080","10,548","8,122","9,040","8,900","5,190","2,226","259","7","61,502","61,502","2,444","2,930","8,820","10,689","8,044","8,962","9,075","6,167","3,624","734","13"
"서울특별시 용산구 (1117000000)","202,507","202,507","9,908","12,658","26,807","37,317","29,032","32,001","28,344","16,124","8,691","1,572","53","96,459","96,459","5,000","6,444","11,957","18,253","14,345","15,547","13,830","7,242","3,322","500","19","106,048","106,048","4,908","6,214","14,850","19,064","14,687","16,454","14,514","8,882","5,369","1,072","34"
"서울특별시 성동구 (1120000000)","274,424","274,424","15,637","17,263","38,194","47,859","39,552","42,929","38,401","22,103","10,899","1,552","35","132,555","132,555","8,076","8,567","18,192","23,536","19,823","20,968","18,809","9,946","4,211","418","9","141,869","141,869","7,561","8,696","20,002","24,323","19,729","21,961","19,592","12,157","6,688","1,134","26"
"서울특별시 광진구 (1121500000)","331,786","331,786","13,571","22,892","55,481","56,675","46,098","51,298","45,904","26,251","11,811","1,762","43","158,814","158,814","6,935","11,553","25,397","28,131","22,560","24,854","22,047","11,917","4,911","496","13","172,972","172,972","6,636","11,339","30,084","28,544","23,538","26,444","23,857","14,334","6,900","1,266","30"
"서울특별시 동대문구 (1123000000)","344,357","344,357","17,312","22,701","55,313","52,857","47,486","52,174","48,552","30,792","15,088","2,026","56","167,961","167,961","8,785","11,493","25,887","26,943","24,261","26,310","23,752","13,902","6,026","590","12","176,396","176,396","8,527","11,208","29,426","25,914","23,225","25,864","24,800","16,890","9,062","1,436","44"
"서울특별시 중랑구 (1126000000)","377,054","377,054","16,786","23,115","45,260","58,527","51,010","62,015","64,129","37,543","16,372","2,232","65","184,215","184,215","8,531","11,893","21,370","29,792","26,595","30,573","31,060","17,174","6,631","583","13","192,839","192,839","8,255","11,222","23,890","28,735","24,415","31,442","33,069","20,369","9,741","1,649","52"
"서울특별시 성북구 (1129000000)","423,705","423,705","21,630","34,007","63,078","56,905","60,068","70,992","58,776","36,822","18,660","2,693","74","202,481","202,481","11,139","17,173","29,377","28,456","29,620","34,860","27,617","16,127","7,334","763","15","221,224","221,224","10,491","16,834","33,701","28,449","30,448","36,132","31,159","20,695","11,326","1,930","59"
"서울특별시 강북구 (1130500000)","279,632","279,632","9,693","17,934","34,630","34,314","36,493","48,781","47,665","31,977","16,149","1,954","42","134,522","134,522","4,942","9,126","16,030","18,017","18,963","24,151","22,646","13,786","6,282","575","4","145,110","145,110","4,751","8,808","18,600","16,297","17,530","24,630","25,019","18,191","9,867","1,379","38"
